Close,Volume,Tradecount,Volume USDT,sma_7,volatility_7,ema_14,rsi_14,target
0.00378,408703745.6,6366,1440180.244903,0.003575714285714286,0.00029960291180477843,0.003772918061071879,33.037872683319904,0.0046
0.0046,688249967.8,10258,3001736.117508,0.003665714285714286,0.000478813016491722,0.0038956267293040166,44.37229437229437,0.0053
0.0053,1166562752.9,17225,6084005.271726,0.0038914285714285713,0.0007838883545384191,0.004100899036709139,57.93912724605793,0.00868
0.00868,2877309846.1,48430,21808982.316248,0.004598571428571428,0.001961754559668704,0.00476172959796575,82.95281582952816,0.0078
0.0078,3861464345.1,75510,36235484.083881,0.005232857142857143,0.0021980954959973445,0.005195433438188085,71.53826465318659,0.00956
0.00956,1803273014.2,36650,16001266.44628,0.006122857142857143,0.002534703889909789,0.00581265175502792,77.58074730842306,0.01087
0.01087,2158935027.2,49125,21866185.336341,0.0072271428571428565,0.002697225205562898,0.006522106207212585,81.28402477942556,0.01455
0.01455,4397262355.6,104019,56503235.839235,0.008765714285714285,0.0033867676681601957,0.007640503188404026,86.0500909472506,0.01235
0.01235,1670915897.8,48700,21896672.922249,0.009872857142857143,0.0030478063930512093,0.008292700937071362,75.76690895651102,0.02018
0.02018,2909833092.6,108635,50304463.97869,0.01199857142857143,0.0042706417494775845,0.009930482949864318,84.53010833963215,0.0295
0.0295,4959586016.0,233512,129015793.31595,0.014972857142857145,0.0075585794835751905,0.01261476381063022,88.87815481222074,0.02953
0.02953,7216196145.9,435799,254220541.198303,0.018077142857142858,0.008522491252143187,0.014926106822506875,89.89141044411907,0.02209
0.02209,4411472529.9,223304,107986180.265709,0.019867142857142858,0.007712865257230316,0.015901771501933018,73.3194009056078,0.02739
0.02739,5742350972.3,229169,164039791.901925,0.02222714285714286,0.0069950856899343135,0.01746191602379949,76.74819000529754,0.02529
0.02529,2439816666.4,111817,61713452.336138,0.023761428571428572,0.00615835050580762,0.018522379403139298,72.98349157471559,0.02475
0.02475,2092787378.6,80308,53847308.505894,0.025532857142857142,0.0035670375864093676,0.01936423148411534,71.65906548489802,0.02419
0.02419,1308601539.2,56410,33074414.20915,0.026105714285714284,0.0028046262801714955,0.02001537798257404,70.36509580528224,0.02235
0.02235,1191302944.8,57119,26878220.065482,0.025084285714285715,0.0026607195589593035,0.020329888687001293,65.23971074011249,0.0238
0.0238,1527919636.6,64106,35602220.792041,0.024265714285714283,0.0018106707518012709,0.020796722424539175,67.61581522457794,0.02212
0.02212,860955448.6,36362,19912545.763143,0.024269999999999996,0.0018046883387443954,0.02097453006891048,63.84951649225063,0.01972
0.01972,1037590833.5,43837,22266449.325702,0.023174285714285713,0.0019194344405132904,0.02080613438868338,59.52483615039668,0.02216
0.02216,1075501624.0,43275,23008223.814831,0.022727142857142855,0.0016959924752753097,0.02098770106682986,58.41307814992025,0.02104
